a,b,delta_r10,lo,hi,p_two_sided
degree_rank,rank_n,-0.03560295728600123,-0.052482834964276706,-0.019807708045956357,0.0001
degree_rank,rank_n_tax_ldelta,-0.1288951625435616,-0.15234875029337278,-0.10526605180855905,0.0001
degree_rank,gbm_geo_tuned,-0.1657914248618202,-0.19033864772588052,-0.14146217265122452,0.0001
degree_rank,twotower_none,-0.14575517277029448,-0.17053287042728926,-0.12159048058365893,0.0001
degree_rank,twotower_bioclip,-0.18159088227755749,-0.20670228524683965,-0.15606583518579456,0.0001
degree_rank,twotower_bioclip2,-0.17162130388416047,-0.19647217376298123,-0.14675947565825506,0.0001
rank_n,rank_n_tax_ldelta,-0.09329220525756038,-0.11862597241344099,-0.0682879985045002,0.0001
rank_n,twotower_none,-0.11015221548429324,-0.13634759757142456,-0.08401033592890018,0.0001
rank_n,twotower_bioclip,-0.14598792499155627,-0.17112215611351642,-0.12004802509291396,0.0001
rank_n,twotower_bioclip2,-0.13601834659815926,-0.16153507547414947,-0.10948159225925468,0.0001
rank_n_tax_ldelta,twotower_none,-0.016860010226732863,-0.04017565700054546,0.0059250157867223735,0.1436
rank_n_tax_ldelta,twotower_bioclip,-0.052695719733995894,-0.07399929773590083,-0.03172214701684638,0.0001
rank_n_tax_ldelta,twotower_bioclip2,-0.04272614134059888,-0.0642808312463212,-0.02207908157019868,0.0001
gbm_geo_tuned,rank_n,0.13018846757581895,0.10605741880163154,0.1543727081479846,0.0001
gbm_geo_tuned,rank_n_tax_ldelta,0.03689626231825857,0.013506770028008527,0.06084828892401428,0.0016
gbm_geo_tuned,twotower_none,0.020036252091525708,0.0021096189530517046,0.03837157448541303,0.0298
gbm_geo_tuned,twotower_bioclip,-0.015799457415737322,-0.035016710605579315,0.0040448097427348674,0.1132
gbm_geo_tuned,twotower_bioclip2,-0.005829879022340306,-0.02647961222437145,0.0151920771500787,0.577
twotower_bioclip,twotower_none,0.03583570950726303,0.01575059360880329,0.056199365766094675,0.001
twotower_bioclip,twotower_bioclip2,0.009969578393397016,-0.008745396060014333,0.028602162159023486,0.2908
twotower_bioclip2,twotower_none,0.025866131113866014,0.003988571883566702,0.04799978426572052,0.0186
